Date,Price
20141201,370
20141202,378
20141203,378
20141204,377.1
20141205,377.1
20141206,378
20141207,378
20141208,375
20141209,375
20141210,360.5
20141211,360.5
20141212,350
20141213,350
20141214,350
20141215,350
20141216,350
20141217,350
20141218,340
20141219,340
20141220,340
20141221,340
20141222,340
20141223,340
20141224,340
20141225,340
20141226,340
20141227,340
20141228,340
20141229,340
20141230,340
20141231,340
20150101,340
20150102,340
20150103,340
20150104,340
20150105,340
20150106,340
20150107,340
20150108,288.99
20150109,288.99
20150110,288.99
20150111,288.99
20150112,288.99
20150113,260
20150114,120
20150115,211.91
20150116,199.46
20150117,184
20150118,184
20150119,225.51
20150120,208
20150121,225.51
20150122,226.32
20150123,235
20150124,240
20150125,254.53
20150126,270
20150127,262.69
20150128,236.14
20150129,234.52
20150130,232.55
20150131,219
20150201,227
20150202,237.79
20150203,228.31
20150204,226.5
20150205,216
20150206,222.82
20150207,228.7
20150208,224.16
20150209,222.19
20150210,220.84
20150211,220.02
20150212,222.45
20150213,236.65
20150214,257.48
20150215,234
20150216,236.82
20150217,244
20150218,235.91
20150219,242.42
20150220,245.89
20150221,245.86
20150222,236.72
20150223,239.69
20150224,240.13
20150225,238.45
20150226,237.1
20150227,255.96
20150228,255.51
20150301,258.78
20150302,274.93
20150303,282.42
20150304,273.56
20150305,277.12
20150306,273.91
20150307,276.33
20150308,274.82
20150309,290.23
20150310,292.56
20150311,296.63
20150312,296.11
20150313,287
20150314,284.29
20150315,287.46
20150316,292.03
20150317,286.87
20150318,258.51
20150319,263.28
20150320,263.71
20150321,261.83
20150322,270
20150323,265.61
20150324,248.81
20150325,247
20150326,250.16
20150327,248.68
20150328,253.47
20150329,243.58
20150330,248.59
20150331,245.26
20150401,247.25
20150402,254.48
20150403,255.68
20150404,254.87
20150405,261.46
20150406,257.57
20150407,255.67
20150408,246.65
20150409,243.65
20150410,235.86
20150411,238.13
20150412,238.03
20150413,238.03
20150414,220.53
20150415,223.88
20150416,229.09
20150417,223.5
20150418,223.99
20150419,224.05
20150420,225.04
20150421,234.91
20150422,234
20150423,235.49
20150424,232.38
20150425,227.06
20150426,220.5
20150427,227.2
20150428,225.48
20150429,225.91
20150430,236.59
20150501,234.01
20150502,236.26
20150503,240.63
20150504,239.8
20150505,236.18
20150506,230.89
20150507,237.91
20150508,244.65
20150509,242.57
20150510,241.25
20150511,242.81
20150512,242.81
20150513,237.56
20150514,237.19
20150515,237.84
20150516,236.73
20150517,237.22
20150518,233.28
20150519,232.4
20150520,234.25
20150521,235.72
20150522,240.34
20150523,239.07
20150524,240.91
20150525,237.47
20150526,237.61
20150527,237.74
20150528,236.8
20150529,236.94
20150530,232.93
20150531,229.88
20150601,223.6
20150602,225.25
20150603,225.57
20150604,224.31
20150605,225.33
20150606,225.02
20150607,223.96
20150608,229.02
20150609,229.74
20150610,228.67
20150611,229.62
20150612,230.26
20150613,233.18
20150614,233.6
20150615,237.47
20150616,251.93
20150617,248.37
20150618,248.93
20150619,245.56
20150620,246.67
20150621,244.64
20150622,247.75
20150623,244.07
20150624,240.89
20150625,242.14
20150626,243
20150627,251.67
20150628,249.79
20150629,257.57
20150630,264.94
20150701,257.97
20150702,255.22
20150703,256.36
20150704,260.72
20150705,271.15
20150706,270.41
20150707,267.19
20150708,270.64
20150709,270.21
20150710,286.85
20150711,294.77
20150712,311.96
20150713,292.35
20150714,288.2
20150715,285.22
20150716,278.71
20150717,279.95
20150718,277.56
20150719,275.59
20150720,278.7
20150721,277.13
20150722,277.5
20150723,276.91
20150724,289.48
20150725,289.64
20150726,293.25
20150727,294.44
20150728,295.73
20150729,289.53
20150730,288.25
20150731,284.68
20150801,282.06
20150802,282.55
20150803,281.63
20150804,285.31
20150805,282.24
20150806,279.91
20150807,279.54
20150808,261.08
20150809,267.91
20150810,265.18
20150811,271.2
20150812,269.43
20150813,264.92
20150814,266.52
20150815,262.21
20150816,259.19
20150817,258.49
20150818,247.43
20150819,227.84
20150820,235.49
20150821,233.71
20150822,230.62
20150823,228.3
20150824,213.38
20150825,223.58
20150826,226.35
20150827,224.34
20150828,233.4
20150829,229.55
20150830,229.24
20150831,231.12
20150901,227.6
20150902,229.39
20150903,226.83
20150904,231.61
20150905,230.92
20150906,240.93
20150907,240.31
20150908,244.15
20150909,238.72
20150910,238.33
20150911,241.04
20150912,236.92
20150913,230.61
20150914,231.01
20150915,230.36
20150916,229.2
20150917,233.17
20150918,233.19
20150919,232.26
20150920,232.48
20150921,227
20150922,230.61
20150923,230.1
20150924,235.6
20150925,235.76
20150926,234.99
20150927,233.54
20150928,240.42
20150929,237.78
20150930,237.13
20151001,238.54
20151002,237.99
20151003,239.93
20151004,239.76
20151005,240.7
20151006,246.83
20151007,243.64
20151008,243.38
20151009,244.46
20151010,246.06
20151011,248.9
20151012,246.29
20151013,250.37
20151014,253.22
20151015,254.64
20151016,263
20151017,271.35
20151018,264.53
20151019,264.81
20151020,271.14
20151021,269.16
20151022,275.92
20151023,278.07
20151024,284
20151025,288.97
20151026,286.75
20151027,295.88
20151028,303.75
20151029,315.68
20151030,329.97
20151031,314.6
20151101,331.71
20151102,363.97
20151103,399.49
20151104,398.09
20151105,384.2
20151106,371.37
20151107,386.7
20151108,373.91
20151109,381
20151110,338.46
20151111,307.54
20151112,336.19
20151113,335
20151114,333.49
20151115,321.13
20151116,332.1
20151117,336
20151118,336.59
20151119,325.5
20151120,321.85
20151121,325.22
20151122,323.59
20151123,323.01
20151124,319.49
20151125,328.07
20151126,356.88
20151127,359.99
20151128,355.94
20151129,371.04
20151130,378.23
20151201,362.56
20151202,360.23
20151203,361.33
20151204,363.25
20151205,387
20151206,393.26
20151207,395.28
20151208,409.2
20151209,417.44
20151210,416.18
20151211,451.34
20151212,436.01
20151213,436.29
20151214,441.98
20151215,463.64
20151216,453.63
20151217,455.5
20151218,462.5
20151219,460.9
20151220,442.26
20151221,436.61
20151222,434.88
20151223,443.77
20151224,456
20151225,456.09
20151226,419.76
20151227,425.01
20151228,421.28
20151229,432.59
20151230,428.2
20151231,430.12
20160101,435.43
20160102,435.74
20160103,432.51
20160104,433.42
20160105,432.67
20160106,432.44
20160107,458.49
20160108,454.06
20160109,451.07
20160110,449.14
20160111,449.33
20160112,446.57
20160113,432.68
20160114,429.69
20160115,373.43
20160116,386.57
20160117,381.01
20160118,383.14
20160119,375.96
20160120,413.88
20160121,408.97
20160122,383.01
20160123,389.52
20160124,403.45
20160125,392.91
20160126,389.21
20160127,394.93
20160128,379.96
20160129,379.39
20160130,379.23
20160131,369.82
20160201,370.62
20160202,372.85
20160203,367
20160204,390.08
20160205,384.46
20160206,374.92
20160207,377.77
20160208,370.68
20160209,372.9
20160210,378.56
20160211,376.89
20160212,381.97
20160213,388.37
20160214,404.53
20160215,399.11
20160216,406.89
20160217,416.26
20160218,421.32
20160219,419.06
20160220,441.89
20160221,438.15
20160222,436.9
20160223,420.03
20160224,422.79
20160225,423.75
20160226,427.5
20160227,432.51
20160228,433.69
20160229,436.45
20160301,432.4
20160302,423.69
20160303,418.82
20160304,408.93
20160305,396.79
20160306,403.48
20160307,415.43
20160308,411.23
20160309,412.83
20160310,416.24
20160311,418.81
20160312,410.33
20160313,413.15
20160314,414.01
20160315,414.65
20160316,415.93
20160317,418.5
20160318,409.96
20160319,410.55
20160320,413.58
20160321,411.38
20160322,416.42
20160323,417.3
20160324,413.76
20160325,416.57
20160326,416.7
20160327,425.03
20160328,422.42
20160329,416.5
20160330,412.5
20160331,416.44
20160401,417.33
20160402,419.9
20160403,420.07
20160404,419.31
20160405,422.18
20160406,421.57
20160407,421.58
20160408,418.97
20160409,419.49
20160410,423.48
20160411,423.28
20160412,428.27
20160413,425.53
20160414,426.1
20160415,430.92
20160416,434.72
20160417,434.72
20160418,429.57
20160419,436.87
20160420,442.85
20160421,452.65
20160422,448.29
20160423,453.94
20160424,463.85
20160425,467.41
20160426,470.37
20160427,446.85
20160428,451.3
20160429,457.74
20160430,453.48
20160501,456.51
20160502,445.61
20160503,452.68
20160504,449.06
20160505,450.39
20160506,462.87
20160507,462.2
20160508,461.91
20160509,464.24
20160510,452.92
20160511,454.46
20160512,455.83
20160513,457.49
20160514,458.99
20160515,462.26
20160516,456.78
20160517,453.62
20160518,455.19
20160519,442.41
20160520,444.27
20160521,446.14
20160522,442.54
20160523,444.88
20160524,446.5
20160525,451.78
20160526,454.68
20160527,470.94
20160528,528.04
20160529,524.7
20160530,533
20160531,531.47
20160601,536.99
20160602,538.53
20160603,570
20160604,575.56
20160605,574.86
20160606,585.99
20160607,579.33
20160608,583.23
20160609,578.56
20160610,579.5
20160611,595.82
20160612,674.26
20160613,706
20160614,684.9
20160615,694.83
20160616,770.21
20160617,753
20160618,760.08
20160619,767.98
20160620,730.42
20160621,669.99
20160622,594.68
20160623,630.87
20160624,668.6
20160625,677.72
20160626,639.13
20160627,650.31
20160628,647.63
20160629,639.22
20160630,672.45
20160701,680.61
20160702,701.23
20160703,669
20160704,679
20160705,668.45
20160706,678
20160707,640.3
20160708,666.5
20160709,658.78
20160710,652.54
20160711,651.7
20160712,674.02
20160713,662.57
20160714,661.41
20160715,668.28
20160716,666.45
20160717,679.08
20160718,675.4
20160719,673.89
20160720,667.94
20160721,667.73
20160722,653.69
20160723,658.19
20160724,660.27
20160725,657.39
20160726,657.73
20160727,657.04
20160728,656.67
20160729,657.27
20160730,656.32
20160731,623.14
20160801,603.97
20160802,515.38
20160803,576
20160804,585
20160805,582.98
20160806,590.98
20160807,593.9
20160808,591.91
20160809,588.13
20160810,593.24
20160811,589.22
20160812,587.82
20160813,586
20160814,572.43
20160815,568.09
20160816,581.97
20160817,573.83
20160818,573.99
20160819,574.49
20160820,583.21
20160821,580.65
20160822,585.12
20160823,582.58
20160824,578.92
20160825,576.16
20160826,578.89
20160827,570.42
20160828,574.83
20160829,573
20160830,574.79
20160831,571.59
20160901,571.96
20160902,575.38
20160903,600.58
20160904,611.82
20160905,606.19
20160906,612.37
20160907,614.59
20160908,628.77
20160909,622.6
20160910,625.1
20160911,607.25
20160912,607.48
20160913,608.24
20160914,608.95
20160915,607.01
20160916,607.75
20160917,607.83
20160918,610.99
20160919,608.94
20160920,608.98
20160921,596.95
20160922,595.25
20160923,602.68
20160924,603.69
20160925,601.35
20160926,606.82
20160927,605.3
20160928,604.98
20160929,605.07
20160930,607.65
20161001,616
20161002,612.41
20161003,612.95
20161004,609.25
20161005,613.35
20161006,611.83
20161007,617.32
20161008,619.59
20161009,617.58
20161010,618.31
20161011,643.83
20161012,636.92
20161013,635.86
20161014,638
20161015,637.51
20161016,642.53
20161017,638.96
20161018,634.97
20161019,629.68
20161020,627.83
20161021,629.76
20161022,655
20161023,650.54
20161024,649.75
20161025,649.07
20161026,674
20161027,685.57
20161028,689.65
20161029,717.9
20161030,697.65
20161031,699.68
20161101,731.16
20161102,735.5
20161103,688.93
20161104,705.7
20161105,706.9
20161106,716.83
20161107,706.82
20161108,712.57
20161109,721
20161110,712.28
20161111,714.77
20161112,704.67
