Year,Amount
1970,0.15
1971,0.16
1972,0.16
1973,0.17
1974,0.19
1975,0.21
1976,0.22
1977,0.23
1978,0.25
1979,0.28
1980,0.32
1981,0.35
1982,0.37
1983,0.39
1984,0.4
1985,0.42
1986,0.42
1987,0.44
1988,0.46
1989,0.48
1990,0.51
1991,0.53
1992,0.54
1993,0.56
1994,0.57
1995,0.59
1996,0.61
1997,0.62
1998,0.63
1999,0.64
2000,0.67
2001,0.68
2002,0.7
2003,0.71
2004,0.73
2005,0.75
2006,0.78
2007,0.8
2008,0.83
2009,0.83
2010,0.84
2011,0.87
2012,0.89
2013,0.9
2014,0.91
2015,0.92
2016,0.93
2017,0.95
2018,0.97
2019,0.99
2020,6.67
