Date,wagner,oil,mario,pokemon,gold,valentino,romeo
19700101,0,3.39,0,0,36.02,0,35000
19700102,0,3.39,0,0,36.02,0,35000
19700105,0,3.39,0,0,36.02,0,35000
19700106,0,3.39,0,0,36.02,0,35000
19700107,0,3.39,0,0,36.02,0,35000
19700108,0,3.39,0,0,36.02,0,35000
19700109,0,3.39,0,0,36.02,0,35000
19700112,0,3.39,0,0,36.02,0,35000
19700113,0,3.39,0,0,36.02,0,35000
19700114,0,3.39,0,0,36.02,0,35000
19700115,0,3.39,0,0,36.02,0,35000
19700116,0,3.39,0,0,36.02,0,35000
19700119,0,3.39,0,0,36.02,0,35000
19700120,0,3.39,0,0,36.02,0,35000
19700121,0,3.39,0,0,36.02,0,35000
19700122,0,3.39,0,0,36.02,0,35000
19700123,0,3.39,0,0,36.02,0,35000
19700126,0,3.39,0,0,36.02,0,35000
19700127,0,3.39,0,0,36.02,0,35000
19700128,0,3.39,0,0,36.02,0,35000
19700129,0,3.39,0,0,36.02,0,35000
19700130,0,3.39,0,0,36.02,0,35000
19700202,0,3.39,0,0,36.02,0,35000
19700203,0,3.39,0,0,36.02,0,35000
19700204,0,3.39,0,0,36.02,0,35000
19700205,0,3.39,0,0,36.02,0,35000
19700206,0,3.39,0,0,36.02,0,35000
19700209,0,3.39,0,0,36.02,0,35000
19700210,0,3.39,0,0,36.02,0,35000
19700211,0,3.39,0,0,36.02,0,35000
19700212,0,3.39,0,0,36.02,0,35000
19700213,0,3.39,0,0,36.02,0,35000
19700216,0,3.39,0,0,36.02,0,35000
19700217,0,3.39,0,0,36.02,0,35000
19700218,0,3.39,0,0,36.02,0,35000
19700219,0,3.39,0,0,36.02,0,35000
19700220,0,3.39,0,0,36.02,0,35000
19700224,0,3.39,0,0,36.02,0,35000
19700225,0,3.39,0,0,36.02,0,35000
19700226,0,3.39,0,0,36.02,0,35000
19700227,0,3.39,0,0,36.02,0,35000
19700302,0,3.39,0,0,36.02,0,35000
