Date,Price
20151227,1.33
20151220,1.35
20151213,0.93
20151206,1.08
20151129,1.28
20151122,1.26
20151115,0.99
20151108,0.98
20151101,1.02
20151025,1.07
20151018,1.12
20151011,1.28
20151004,1.31
20150927,0.99
20150920,1.33
20150913,1.28
20150906,1.11
20150830,1.07
20150823,1.34
20150816,1.33
20150809,1.12
20150802,1.45
20150726,1.11
20150719,1.26
20150712,1.05
20150705,1.35
20150628,1.37
20150621,1.27
20150614,1.32
20150607,1.07
20150531,1.23
20150524,1.19
20150517,1.43
20150510,1.26
20150503,1.2
20150426,1.22
20150419,1.19
20150412,1.13
20150405,1.16
20150329,1.02
20150322,1.12
20150315,1.11
20150308,1.07
20150301,0.99
20150222,1.07
20150215,1.06
20150208,0.99
20150201,0.99
20150125,1.06
20150118,1.17
20150111,1.24
20150104,1.22
20151227,0.99
20151220,1.08
20151213,0.96
20151206,1.07
20151129,0.99
20151122,1.0
20151115,1.13
20151108,1.12
20151101,0.99
20151025,1.09
20151018,1.09
20151011,0.95
20151004,0.96
20150927,1.07
20150920,0.93
20150913,1.07
20150906,0.97
20150830,1.15
20150823,1.12
20150816,1.09
20150809,1.01
20150802,1.15
20150726,1.08
20150719,0.97
20150712,1.14
20150705,1.01
20150628,1.13
20150621,0.99
20150614,1.1
20150607,0.99
20150531,1.1
20150524,0.96
20150517,1.11
20150510,1.1
20150503,1.0
20150426,1.12
20150419,1.12
20150412,0.99
20150405,1.04
20150329,1.11
20150322,1.0
20150315,1.12
20150308,1.1
20150301,0.99
20150222,1.1
20150215,1.06
20150208,1.03
20150201,0.96
20150125,1.1
20150118,1.11
20150111,1.11
20150104,1.0
20151227,1.17
20151220,1.11
20151213,1.15
20151206,1.04
20151129,1.16
20151122,1.12
20151115,1.04
20151108,1.05
20151101,1.12
20151025,1.19
20151018,0.99
20151011,1.24
20151004,1.28
20150927,1.19
20150920,1.17
20150913,1.09
20150906,1.18
20150830,1.24
20150823,1.16
20150816,1.14
20150809,1.16
20150802,1.17
20150726,1.2
20150719,1.18
20150712,1.1
20150705,1.16
20150628,1.15
20150621,1.16
20150614,1.09
20150607,1.26
20150531,1.19
20150524,1.18
20150517,1.27
20150510,1.26
20150503,1.17
20150426,1.29
20150419,1.28
20150412,1.15
20150405,1.29
20150329,1.25
20150322,1.1
20150315,1.24
20150308,1.26
20150301,1.16
20150222,1.11
20150215,1.25
20150208,1.09
20150201,1.06
20150125,1.2
20150118,1.23
20150111,1.17
20150104,1.08
20151227,0.97
20151220,1.03
20151213,0.99
20151206,0.71
20151129,1.06
20151122,1.09
20151115,1.01
20151108,1.11
20151101,1.14
20151025,1.11
20151018,1.16
20151011,0.94
20151004,1.12
20150927,0.99
20150920,1.03
20150913,1.08
20150906,1.16
20150830,1.19
20150823,1.05
20150816,1.12
20150809,1.1
20150802,1.07
20150726,1.07
20150719,1.09
20150712,1.05
20150705,1.15
20150628,1.04
20150621,1.06
20150614,0.99
20150607,1.12
20150531,0.97
20150524,1.03
20150517,0.96
20150510,1.06
20150503,1.0
20150426,0.96
20150419,0.99
20150412,1.19
20150405,1.09
20150329,0.98
20150322,1.17
20150315,1.0
20150308,1.14
20150301,1.06
20150222,0.99
20150215,1.14
20150208,1.07
20150201,0.91
20150125,1.03
20150118,1.08
20150111,1.18
20150104,1.01
20151227,1.13
20151220,1.07
20151213,1.01
20151206,1.02
20151129,1.19
20151122,1.07
20151115,1.05
20151108,1.04
20151101,1.06
20151025,1.02
20151018,0.94
20151011,1.14
20151004,1.07
20150927,1.07
20150920,1.15
20150913,1.03
20150906,1.11
20150830,1.13
20150823,1.07
20150816,1.15
20150809,1.07
20150802,1.17
20150726,1.28
20150719,1.18
20150712,1.14
20150705,1.27
20150628,1.25
20150621,1.24
20150614,1.08
20150607,1.25
20150531,1.26
20150524,1.14
20150517,1.26
20150510,1.14
20150503,1.17
20150426,1.28
20150419,1.15
20150412,1.26
20150405,1.27
20150329,1.19
20150322,1.18
20150315,1.25
20150308,1.17
20150301,1.11
20150222,1.23
20150215,1.2
20150208,1.04
20150201,1.22
20150125,1.17
20150118,1.23
20150111,1.1
20150104,1.02
20151227,1.35
20151220,1.37
20151213,1.35
20151206,1.23
20151129,1.39
20151122,1.4
20151115,1.36
20151108,1.3
20151101,1.23
20151025,1.36
20151018,1.29
20151011,1.3
20151004,1.33
20150927,1.31
20150920,1.54
20150913,1.59
20150906,1.56
20150830,1.38
20150823,1.49
20150816,1.5
20150809,1.47
20150802,1.47
20150726,1.39
20150719,1.36
20150712,1.45
20150705,1.47
20150628,1.36
20150621,1.5
20150614,1.34
20150607,1.38
20150531,1.4
20150524,1.43
20150517,1.35
20150510,1.33
20150503,1.42
20150426,1.41
20150419,1.42
20150412,1.42
20150405,1.44
20150329,1.39
20150322,1.4
20150315,1.47
20150308,1.35
20150301,1.43
20150222,1.41
20150215,1.44
20150208,1.36
20150201,1.33
20150125,1.5
20150118,1.52
20150111,1.54
20150104,1.4
20151227,0.9
20151220,0.94
20151213,0.87
20151206,0.78
20151129,0.91
20151122,0.92
20151115,0.83
20151108,0.98
20151101,0.95
20151025,1.12
20151018,1.07
20151011,1.08
20151004,1.02
20150927,1.04
20150920,1.14
20150913,1.13
20150906,1.09
20150830,1.08
20150823,1.18
20150816,1.11
20150809,1.1
20150802,1.16
20150726,1.13
20150719,1.18
20150712,1.13
20150705,1.12
20150628,1.1
20150621,1.07
20150614,0.97
20150607,0.98
20150531,0.98
20150524,1.1
20150517,1.08
20150510,0.93
20150503,0.88
20150426,1.15
20150419,1.05
20150412,1.06
20150405,1.12
20150329,1.1
20150322,1.06
20150315,1.06
20150308,0.96
20150301,0.84
20150222,0.96
20150215,0.96
20150208,0.91
20150201,0.85
20150125,1.06
20150118,1.02
20150111,0.92
20150104,0.93
20151227,0.96
20151220,0.98
20151213,0.95
20151206,0.99
20151129,0.95
20151122,1.0
20151115,1.01
20151108,1.03
20151101,1.11
20151025,1.27
20151018,1.26
20151011,1.14
20151004,1.22
20150927,1.09
20150920,1.2
20150913,1.19
20150906,1.01
20150830,1.2
20150823,1.15
20150816,1.24
20150809,1.21
20150802,1.24
20150726,1.23
20150719,1.19
20150712,1.18
20150705,1.18
20150628,1.17
20150621,1.17
20150614,1.15
20150607,1.15
20150531,1.19
20150524,1.2
20150517,1.21
20150510,1.19
20150503,1.0
20150426,1.2
20150419,1.18
20150412,1.17
20150405,1.19
20150329,1.23
20150322,1.19
20150315,1.19
20150308,1.25
20150301,1.18
20150222,1.08
20150215,1.22
20150208,1.17
20150201,0.98
20150125,1.18
20150118,1.25
20150111,1.26
20150104,1.19
20151227,0.93
20151220,0.91
20151213,1.07
20151206,1.14
20151129,1.11
20151122,0.94
20151115,1.17
20151108,1.01
20151101,1.0
20151025,1.12
20151018,1.15
20151011,1.08
20151004,1.18
20150927,1.15
20150920,1.19
20150913,1.19
20150906,1.11
20150830,1.12
20150823,1.2
20150816,1.16
20150809,1.25
20150802,1.27
20150726,1.12
20150719,1.24
20150712,1.26
20150705,1.24
20150628,1.21
20150621,1.24
20150614,1.21
20150607,1.24
20150531,1.26
20150524,1.23
20150517,1.23
20150510,1.23
20150503,1.04
20150426,1.24
20150419,1.24
20150412,1.24
20150405,1.27
20150329,1.22
20150322,1.21
20150315,1.09
20150308,1.18
20150301,1.09
20150222,1.18
20150215,1.17
20150208,1.13
20150201,0.91
20150125,1.22
20150118,1.14
20150111,1.15
20150104,1.11
20151227,0.87
20151220,0.85
20151213,0.79
20151206,0.83
20151129,0.88
20151122,0.89
20151115,0.88
20151108,0.87
20151101,0.93
20151025,1.01
20151018,0.98
20151011,0.91
20151004,0.93
20150927,1.08
20150920,1.05
20150913,1.05
20150906,1.02
20150830,1.01
20150823,1.05
20150816,1.01
20150809,1.08
20150802,1.09
20150726,1.03
20150719,1.06
20150712,1.03
20150705,1.03
20150628,1.01
20150621,1.02
20150614,1.05
20150607,1.07
20150531,1.06
20150524,1.1
20150517,1.04
20150510,1.06
20150503,1.08
20150426,1.06
20150419,1.02
20150412,1.02
20150405,1.06
20150329,0.95
20150322,0.98
20150315,0.94
20150308,0.87
20150301,0.89
20150222,0.93
20150215,0.94
20150208,0.93
20150201,0.86
20150125,0.93
20150118,0.93
20150111,0.92
20150104,0.88
20151227,0.99
20151220,1.03
20151213,1.03
20151206,0.99
20151129,1.03
20151122,1.04
20151115,0.99
20151108,0.95
20151101,0.99
20151025,1.04
20151018,0.98
20151011,0.9
20151004,0.93
20150927,1.02
20150920,1.0
20150913,1.02
20150906,1.04
20150830,1.03
20150823,1.08
20150816,1.03
20150809,1.0
20150802,1.05
20150726,1.02
20150719,1.05
20150712,1.04
20150705,0.98
20150628,0.94
20150621,0.99
20150614,1.01
20150607,1.03
20150531,1.1
20150524,1.01
20150517,1.0
20150510,1.1
20150503,0.99
20150426,1.02
20150419,1.0
20150412,1.07
20150405,1.09
20150329,0.96
20150322,0.94
20150315,1.01
20150308,0.95
20150301,1.03
20150222,1.09
20150215,1.05
20150208,0.96
20150201,0.87
20150125,1.08
20150118,1.02
20150111,0.97
20150104,0.89
20151227,0.8
20151220,0.82
20151213,0.79
20151206,0.74
20151129,0.8
20151122,0.78
20151115,0.71
20151108,0.8
20151101,0.78
20151025,0.86
20151018,0.83
20151011,0.81
20151004,0.82
20150927,0.84
20150920,0.77
20150913,0.86
20150906,0.84
20150830,0.82
20150823,0.85
20150816,0.88
20150809,0.85
20150802,0.87
20150726,0.8
20150719,0.82
20150712,0.82
20150705,0.83
20150628,0.77
20150621,0.75
20150614,0.65
20150607,0.73
20150531,0.68
20150524,0.81
20150517,0.73
20150510,0.75
20150503,0.77
20150426,0.81
20150419,0.8
20150412,0.72
20150405,0.77
20150329,0.79
20150322,0.67
20150315,0.72
20150308,0.75
20150301,0.82
20150222,0.8
20150215,0.77
20150208,0.67
20150201,0.68
20150125,0.8
20150118,0.76
20150111,0.76
20150104,0.74
20151227,0.98
20151220,1.05
20151213,0.83
20151206,0.76
20151129,1.12
20151122,0.85
20151115,0.82
20151108,0.93
20151101,0.82
20151025,0.93
20151018,0.87
20151011,0.9
20151004,1.02
20150927,0.97
20150920,0.98
20150913,1.01
20150906,1.09
20150830,1.14
20150823,1.2
20150816,1.17
20150809,1.09
20150802,1.05
20150726,1.18
20150719,1.1
20150712,1.18
20150705,1.19
20150628,1.2
20150621,1.16
20150614,1.16
20150607,1.11
20150531,1.26
20150524,1.16
20150517,1.21
20150510,1.08
20150503,1.01
20150426,1.19
20150419,1.08
20150412,1.05
20150405,1.19
20150329,1.11
20150322,1.15
20150315,1.03
20150308,1.03
20150301,1.03
20150222,1.0
20150215,1.12
20150208,0.95
20150201,0.93
20150125,1.02
20150118,0.99
20150111,1.09
20150104,0.99
20151227,1.08
20151220,1.1
20151213,1.05
20151206,0.98
20151129,1.11
20151122,1.09
20151115,1.1
20151108,1.03
20151101,1.04
20151025,1.17
20151018,0.97
20151011,0.99
20151004,1.1
20150927,1.17
20150920,1.0
20150913,1.03
20150906,1.09
20150830,0.96
20150823,1.11
20150816,0.97
20150809,1.07
20150802,1.04
20150726,0.99
20150719,1.04
20150712,1.02
20150705,1.06
20150628,1.0
20150621,0.97
20150614,1.04
20150607,0.97
20150531,1.09
20150524,1.03
20150517,0.95
20150510,1.11
20150503,1.06
20150426,1.01
20150419,0.96
20150412,1.02
20150405,1.11
20150329,0.97
20150322,0.97
20150315,1.13
20150308,1.01
20150301,0.97
20150222,1.15
20150215,1.16
20150208,1.11
20150201,0.92
20150125,1.19
20150118,1.1
20150111,1.08
20150104,1.01
20151227,1.13
20151220,1.13
20151213,1.24
20151206,0.93
20151129,1.12
20151122,1.11
20151115,1.2
20151108,0.93
20151101,0.91
20151025,1.14
20151018,0.94
20151011,0.97
20151004,0.99
20150927,1.15
20150920,0.88
20150913,0.95
20150906,1.09
20150830,0.91
20150823,1.28
20150816,0.89
20150809,1.08
20150802,1.05
20150726,1.12
20150719,1.05
20150712,1.19
20150705,1.16
20150628,1.1
20150621,0.96
20150614,1.07
20150607,1.14
20150531,1.31
20150524,1.3
20150517,0.97
20150510,1.36
20150503,1.06
20150426,1.09
20150419,0.93
20150412,1.13
20150405,1.22
20150329,1.11
20150322,0.91
20150315,1.35
20150308,1.08
20150301,0.95
20150222,1.31
20150215,1.21
20150208,1.24
20150201,0.94
20150125,1.19
20150118,1.07
20150111,1.03
20150104,0.95
20151227,1.01
20151220,1.01
20151213,1.03
20151206,1.0
20151129,1.07
20151122,1.03
20151115,1.09
20151108,0.98
20151101,1.0
20151025,1.1
20151018,1.03
20151011,1.02
20151004,1.05
20150927,1.1
20150920,1.02
20150913,1.03
20150906,1.07
20150830,1.04
20150823,1.14
20150816,1.03
20150809,1.12
20150802,1.14
20150726,1.1
20150719,1.12
20150712,1.14
20150705,1.13
20150628,1.07
20150621,1.08
20150614,1.12
20150607,1.13
20150531,1.2
20150524,1.15
20150517,1.09
20150510,1.15
20150503,1.05
20150426,1.14
20150419,1.06
20150412,1.11
20150405,1.18
20150329,1.09
20150322,1.04
20150315,1.1
20150308,1.04
20150301,1.02
20150222,1.16
20150215,1.15
20150208,1.07
20150201,0.91
20150125,1.13
20150118,1.08
20150111,1.1
20150104,1.02
20151227,1.16
20151220,1.11
20151213,1.14
20151206,1.1
20151129,1.17
20151122,1.16
20151115,1.09
20151108,1.09
20151101,1.13
20151025,1.11
20151018,0.93
20151011,1.05
20151004,1.16
20150927,1.15
20150920,1.17
20150913,1.07
20150906,1.19
20150830,1.18
20150823,1.1
20150816,1.09
20150809,1.07
20150802,1.1
20150726,1.17
20150719,1.19
20150712,1.17
20150705,1.19
20150628,1.2
20150621,1.19
20150614,1.13
20150607,1.21
20150531,1.22
20150524,1.21
20150517,1.19
20150510,1.19
20150503,1.17
20150426,1.21
20150419,1.17
20150412,1.18
20150405,1.21
20150329,1.14
20150322,1.08
20150315,1.2
20150308,1.15
20150301,1.07
20150222,1.2
20150215,1.22
20150208,1.02
20150201,1.06
20150125,1.17
20150118,1.24
20150111,1.26
20150104,1.05
20151227,1.27
20151220,1.18
20151213,1.24
20151206,1.19
20151129,1.32
20151122,1.27
20151115,1.12
20151108,1.16
20151101,1.16
20151025,1.2
20151018,0.93
20151011,1.38
20151004,1.3
20150927,1.29
20150920,1.25
20150913,1.11
20150906,1.27
20150830,1.26
20150823,1.14
20150816,1.12
20150809,1.12
20150802,1.16
20150726,1.3
20150719,1.32
20150712,1.06
20150705,1.25
20150628,1.27
20150621,1.25
20150614,1.15
20150607,1.29
20150531,1.33
20150524,1.34
20150517,1.2
20150510,1.25
20150503,1.25
20150426,1.36
20150419,1.35
20150412,1.25
20150405,1.33
20150329,1.22
20150322,1.11
20150315,1.4
20150308,1.43
20150301,1.12
20150222,1.38
20150215,1.39
20150208,1.09
20150201,1.32
20150125,1.35
20150118,1.39
20150111,1.38
20150104,1.06
20151227,0.78
20151220,0.75
20151213,0.73
20151206,0.74
20151129,0.79
20151122,0.73
20151115,0.72
20151108,0.75
20151101,0.77
20151025,0.88
20151018,0.9
20151011,0.79
20151004,0.82
20150927,0.86
20150920,0.83
20150913,0.89
20150906,0.89
20150830,0.88
20150823,0.89
20150816,0.92
20150809,0.92
20150802,0.9
20150726,0.79
20150719,0.78
20150712,0.79
20150705,0.79
20150628,0.74
20150621,0.74
20150614,0.62
20150607,0.72
20150531,0.72
20150524,0.83
20150517,0.82
20150510,0.76
20150503,0.74
20150426,0.79
20150419,0.82
20150412,0.79
20150405,0.83
20150329,0.79
20150322,0.8
20150315,0.77
20150308,0.78
20150301,0.87
20150222,0.82
20150215,0.73
20150208,0.7
20150201,0.72
20150125,0.77
20150118,0.77
20150111,0.78
20150104,0.71
20151227,1.04
20151220,1.1
20151213,1.03
20151206,0.92
20151129,1.08
20151122,1.11
20151115,1.08
20151108,0.96
20151101,1.01
20151025,1.02
20151018,0.97
20151011,1.1
20151004,0.98
20150927,1.04
20150920,0.91
20150913,0.87
20150906,1.11
20150830,1.17
20150823,1.22
20150816,1.14
20150809,1.2
20150802,1.21
20150726,1.22
20150719,1.07
20150712,1.05
20150705,1.05
20150628,0.95
20150621,1.03
20150614,1.15
20150607,1.28
20150531,1.37
20150524,1.29
20150517,1.26
20150510,1.06
20150503,1.13
20150426,1.24
20150419,1.08
20150412,1.15
20150405,1.17
20150329,1.09
20150322,1.11
20150315,1.21
20150308,1.07
20150301,1.13
20150222,1.34
20150215,1.3
20150208,0.98
20150201,0.92
20150125,1.06
20150118,1.14
20150111,1.25
20150104,1.02
20151227,0.99
20151220,1.19
20151213,0.96
20151206,1.19
20151129,0.96
20151122,0.98
20151115,1.25
20151108,1.25
20151101,0.97
20151025,1.22
20151018,1.25
20151011,0.99
20151004,0.99
20150927,1.27
20150920,0.99
20150913,1.24
20150906,0.98
20150830,1.26
20150823,1.25
20150816,1.25
20150809,0.99
20150802,1.24
20150726,1.25
20150719,1.0
20150712,1.22
20150705,0.95
20150628,1.16
20150621,0.95
20150614,1.2
20150607,0.98
20150531,1.24
20150524,1.0
20150517,1.22
20150510,1.24
20150503,0.96
20150426,1.21
20150419,1.17
20150412,0.99
20150405,1.1
20150329,1.2
20150322,0.96
20150315,1.27
20150308,1.24
20150301,1.01
20150222,1.1
20150215,1.24
20150208,1.21
20150201,0.92
20150125,1.2
20150118,1.27
20150111,1.2
20150104,0.97
20151227,0.83
20151220,0.96
20151213,0.95
20151206,0.89
20151129,0.95
20151122,0.98
20151115,0.95
20151108,0.92
20151101,0.99
20151025,0.98
20151018,0.91
20151011,0.94
20151004,0.97
20150927,0.97
20150920,0.97
20150913,0.88
20150906,1.02
20150830,1.09
20150823,1.06
20150816,0.96
20150809,0.96
20150802,1.09
20150726,1.06
20150719,1.03
20150712,1.02
20150705,1.05
20150628,1.01
20150621,0.9
20150614,0.88
20150607,1.02
20150531,1.03
20150524,0.98
20150517,0.95
20150510,0.98
20150503,0.94
20150426,0.88
20150419,0.82
20150412,0.76
20150405,0.81
20150329,0.84
20150322,0.9
20150315,1.07
20150308,1.01
20150301,1.05
20150222,1.16
20150215,1.12
20150208,1.01
20150201,0.94
20150125,1.06
20150118,1.06
20150111,0.93
20150104,0.8
20151227,0.8
20151220,0.85
20151213,0.74
20151206,0.66
20151129,0.83
20151122,0.81
20151115,0.74
20151108,0.84
