Date,Year,Month,Day
19700106,1970,January,6
19700107,1970,January,7
19700108,1970,January,8
19700109,1970,January,9
19700112,1970,January,12
19700113,1970,January,13
19700114,1970,January,14
19700115,1970,January,15
19700116,1970,January,16
19700119,1970,January,19
19700120,1970,January,20
19700121,1970,January,21
19700122,1970,January,22
19700123,1970,January,23
19700126,1970,January,26
19700127,1970,January,27
19700128,1970,January,28
19700129,1970,January,29
19700130,1970,January,30
19700202,1970,February,2
19700203,1970,February,3
19700204,1970,February,4
19700205,1970,February,5
19700206,1970,February,6
19700209,1970,February,9
19700210,1970,February,10
19700211,1970,February,11
19700212,1970,February,12
19700213,1970,February,13
19700216,1970,February,16
19700217,1970,February,17
19700218,1970,February,18
19700219,1970,February,19
19700220,1970,February,20
19700224,1970,February,24
19700225,1970,February,25
19700226,1970,February,26
19700227,1970,February,27
19700302,1970,March,2
19700303,1970,March,3
19700304,1970,March,4
19700305,1970,March,5
19700306,1970,March,6
19700309,1970,March,9
19700310,1970,March,10
19700311,1970,March,11
19700312,1970,March,12
19700313,1970,March,13
19700316,1970,March,16
19700317,1970,March,17
19700318,1970,March,18
19700319,1970,March,19
19700320,1970,March,20
19700323,1970,March,23
19700324,1970,March,24
19700325,1970,March,25
19700326,1970,March,26
19700330,1970,March,30
19700331,1970,March,31
19700401,1970,April,1
19700402,1970,April,2
19700403,1970,April,3
19700406,1970,April,6
19700407,1970,April,7
19700408,1970,April,8
19700409,1970,April,9
19700410,1970,April,10
19700413,1970,April,13
19700414,1970,April,14
19700415,1970,April,15
19700416,1970,April,16
19700417,1970,April,17
19700420,1970,April,20
19700421,1970,April,21
19700422,1970,April,22
19700423,1970,April,23
19700424,1970,April,24
19700427,1970,April,27
19700428,1970,April,28
19700429,1970,April,29
19700430,1970,April,30
19700501,1970,May,1
19700504,1970,May,4
19700505,1970,May,5
19700506,1970,May,6
19700507,1970,May,7
19700508,1970,May,8
19700511,1970,May,11
19700512,1970,May,12
19700513,1970,May,13
19700514,1970,May,14
19700515,1970,May,15
19700518,1970,May,18
19700519,1970,May,19
19700520,1970,May,20
19700521,1970,May,21
19700522,1970,May,22
19700525,1970,May,25
19700526,1970,May,26
19700527,1970,May,27
19700528,1970,May,28
19700529,1970,May,29
19700601,1970,June,1
19700602,1970,June,2
19700603,1970,June,3
19700604,1970,June,4
19700605,1970,June,5
19700608,1970,June,8
19700609,1970,June,9
19700610,1970,June,10
19700611,1970,June,11
19700612,1970,June,12
19700615,1970,June,15
19700616,1970,June,16
19700617,1970,June,17
19700618,1970,June,18
19700619,1970,June,19
19700622,1970,June,22
19700623,1970,June,23
19700624,1970,June,24
