DateID,NASDAQ,SP,DOW,BITCOIN
19700101,0,0,0,0
19700102,0,93,0,0
19700105,0,93.46,0,0
19700106,0,92.82,0,0
19700107,0,92.63,0,0
19700108,0,92.68,0,0
19700109,0,92.4,0,0
19700112,0,91.7,0,0
19700113,0,91.92,0,0
19700114,0,91.65,0,0
19700115,0,91.68,0,0
19700116,0,90.92,0,0
19700119,0,89.65,0,0
19700120,0,89.83,0,0
19700121,0,89.95,0,0
19700122,0,90.04,0,0
19700123,0,89.37,0,0
19700126,0,88.17,0,0
19700127,0,87.62,0,0
19700128,0,86.79,0,0
19700129,0,85.69,0,0
19700130,0,85.02,0,0
19700202,0,85.75,0,0
19700203,0,86.77,0,0
19700204,0,86.24,0,0
19700205,0,85.9,0,0
19700206,0,86.33,0,0
19700209,0,87.01,0,0
19700210,0,86.1,0,0
19700211,0,86.94,0,0
19700212,0,86.73,0,0
19700213,0,86.54,0,0
19700216,0,86.47,0,0
19700217,0,86.37,0,0
19700218,0,87.44,0,0
19700219,0,87.76,0,0
19700220,0,88.03,0,0
19700224,0,87.99,0,0
19700225,0,89.35,0,0
19700226,0,88.9,0,0
19700227,0,89.5,0,0
19700302,0,89.71,0,0
19700303,0,90.23,0,0
19700304,0,90.04,0,0
19700305,0,90,0,0
19700306,0,89.44,0,0
19700309,0,88.51,0,0
19700310,0,88.75,0,0
19700311,0,88.69,0,0
19700312,0,88.33,0,0
19700313,0,87.86,0,0
19700316,0,86.91,0,0
19700317,0,87.29,0,0
19700318,0,87.54,0,0
19700319,0,87.42,0,0
19700320,0,87.06,0,0
19700323,0,86.99,0,0
19700324,0,87.98,0,0
19700325,0,89.77,0,0
19700326,0,89.92,0,0
19700330,0,89.63,0,0
19700331,0,89.63,0,0
19700401,0,90.07,0,0
19700402,0,89.79,0,0
19700403,0,89.39,0,0
19700406,0,88.76,0,0
19700407,0,88.52,0,0
19700408,0,88.49,0,0
19700409,0,88.53,0,0
19700410,0,88.24,0,0
19700413,0,87.64,0,0
19700414,0,86.89,0,0
19700415,0,86.73,0,0
19700416,0,85.88,0,0
19700417,0,85.67,0,0
19700420,0,85.83,0,0
19700421,0,85.38,0,0
19700422,0,84.27,0,0
19700423,0,83.04,0,0
19700424,0,82.77,0,0
19700427,0,81.46,0,0
