Date,Price
19801212,0.41
19801215,0.39
19801216,0.36
19801217,0.37
19801218,0.38
19801219,0.4
19801222,0.42
19801223,0.44
19801224,0.46
19801226,0.5
19801229,0.51
19801230,0.5
19801231,0.48
19810102,0.49
19810105,0.48
19810106,0.46
19810107,0.44
19810108,0.43
19810109,0.45
19810112,0.45
19810113,0.43
19810114,0.43
19810115,0.44
19810116,0.44
19810119,0.47
19810120,0.45
19810121,0.46
19810122,0.47
19810123,0.46
19810126,0.46
19810127,0.45
19810128,0.44
19810129,0.42
19810130,0.4
19810202,0.38
19810203,0.39
19810204,0.41
19810205,0.41
19810206,0.41
19810209,0.39
19810210,0.39
19810211,0.37
19810212,0.37
19810213,0.36
19810217,0.37
19810218,0.39
19810219,0.36
19810220,0.34
19810223,0.35
19810224,0.34
19810225,0.36
19810226,0.36
19810227,0.37
19810302,0.38
19810303,0.37
19810304,0.37
19810305,0.37
19810306,0.36
19810309,0.33
19810310,0.32
19810311,0.31
19810312,0.32
19810313,0.31
19810316,0.33
19810317,0.34
19810318,0.36
19810319,0.36
19810320,0.36
19810323,0.38
19810324,0.38
19810325,0.37
19810326,0.36
19810327,0.35
19810330,0.35
19810331,0.35
19810401,0.34
19810402,0.37
19810403,0.37
19810406,0.37
19810407,0.36
19810408,0.38
19810409,0.39
19810410,0.39
19810413,0.39
19810414,0.39
19810415,0.37
19810416,0.35
19810420,0.36
19810421,0.39
19810422,0.4
19810423,0.41
19810424,0.41
19810427,0.41
19810428,0.4
19810429,0.39
19810430,0.4
19810501,0.4
19810504,0.4
19810505,0.4
19810506,0.39
19810507,0.39
19810508,0.4
19810511,0.39
19810512,0.39
19810513,0.39
19810514,0.38
19810515,0.39
19810518,0.4
19810519,0.39
19810520,0.4
19810521,0.42
19810522,0.44
19810526,0.44
19810527,0.47
19810528,0.47
19810529,0.47
19810601,0.47
19810602,0.45
19810603,0.45
19810604,0.45
19810605,0.45
19810608,0.43
19810609,0.44
19810610,0.45
19810611,0.47
19810612,0.46
19810615,0.46
19810616,0.45
19810617,0.44
19810618,0.44
19810619,0.43
19810622,0.41
19810623,0.42
19810624,0.41
19810625,0.42
19810626,0.41
19810629,0.4
19810630,0.37
19810701,0.36
