Date,Price
19990129,14.49
19990201,14.6
19990202,14.49
19990203,13.61
19990204,13.61
19990205,13.28
19990208,13.5
19990209,13.17
19990210,12.62
19990211,12.35
19990212,12.41
19990216,12.3
19990217,12.62
19990218,13.06
19990219,13.5
19990222,13.61
19990223,13.61
19990224,13.72
19990225,13.28
19990226,12.9
19990301,12.3
19990302,12.46
19990303,12.08
19990304,12.3
19990305,11.58
19990308,11.31
19990309,10.81
19990310,10.65
19990311,10.43
19990312,10.65
19990315,10.87
19990316,10.98
19990317,10.92
19990318,10.87
19990319,10.87
19990322,10.76
19990323,10.48
19990324,10.43
19990325,10.54
19990326,10.37
19990329,10.48
19990330,10.26
19990331,10.65
19990401,10.54
19990405,10.54
19990406,11.14
19990407,11.09
19990408,11.64
19990409,12.84
19990412,12.79
19990413,12.95
19990414,12.68
19990415,12.57
19990416,12.51
19990419,13.17
19990420,13.23
19990421,13.28
19990422,13.83
19990423,13.28
19990426,13.28
19990427,13.12
19990428,13.12
19990429,12.84
19990430,12.68
19990503,12.62
19990504,12.62
19990505,12.57
19990506,12.73
19990507,12.79
19990510,12.9
19990511,13.45
19990512,13.72
19990513,13.5
19990514,13.72
19990517,13.23
19990518,13.5
19990519,13.61
19990520,13.61
19990521,13.61
19990524,13.5
19990525,13.06
19990526,13.12
19990527,13.06
19990528,13.34
19990601,13.5
19990602,13.06
19990603,13.12
19990604,12.79
19990607,13.61
19990608,13.67
19990609,13.5
19990610,14.0
19990611,14.05
19990614,14.33
19990615,13.28
19990616,13.06
19990617,12.95
19990618,13.17
19990621,13.23
19990622,13.17
19990623,12.73
19990624,12.95
19990625,13.01
19990628,12.3
19990629,12.13
19990630,12.3
19990701,12.68
19990702,13.01
19990706,13.17
19990707,12.95
19990708,12.51
19990709,12.62
19990712,12.62
19990713,12.3
19990714,12.51
19990715,12.68
19990716,13.39
19990719,13.28
19990720,13.06
19990721,13.78
19990722,14.88
19990723,14.66
19990726,13.67
19990727,13.56
19990728,14.0
19990729,14.49
19990730,14.22
19990802,14.22
19990803,14.27
19990804,14.33
19990805,13.72
19990806,13.72
19990809,13.72
19990810,13.72
19990811,13.78
19990812,13.83
19990813,13.94
19990816,14.05
19990817,14.16
19990818,13.78
19990819,14.05
19990820,13.83
19990823,13.67
19990824,13.56
19990825,13.72
19990826,13.83
19990827,13.83
19990830,13.61
19990831,13.72
19990901,13.61
19990902,13.28
19990903,13.39
19990907,13.94
19990908,14.0
19990909,13.83
19990910,14.05
19990913,13.89
19990914,13.72
19990915,13.67
19990916,13.28
19990917,13.39
19990920,13.34
19990921,13.12
19990922,13.28
19990923,13.01
19990924,12.9
19990927,13.17
19990928,13.5
19990929,13.06
19990930,12.51
19991001,12.62
19991004,12.62
19991005,12.51
19991006,12.62
19991007,12.95
19991008,13.17
19991011,12.9
19991012,12.3
19991013,12.3
19991014,12.24
19991015,12.19
19991018,12.24
19991019,12.3
19991020,12.13
19991021,12.24
19991022,12.13
19991025,12.3
19991026,12.35
19991027,12.3
19991028,12.24
19991029,12.24
19991101,11.97
19991102,12.08
19991103,12.24
19991104,12.24
19991105,12.24
19991108,12.24
19991109,12.13
19991110,11.97
19991111,12.24
19991112,12.19
19991115,11.8
19991116,11.64
19991117,11.42
19991118,11.2
19991119,11.42
19991122,11.47
19991123,10.87
19991124,11.25
19991126,10.87
19991129,11.25
19991130,11.31
19991201,11.09
19991202,10.76
19991203,10.92
19991206,10.98
19991207,11.53
19991208,11.8
19991209,11.31
19991210,11.47
19991213,11.31
19991214,11.42
19991215,11.2
19991216,11.2
19991217,11.31
19991220,11.09
19991221,11.03
19991222,10.7
19991223,10.76
19991227,10.76
19991228,10.76
19991229,10.7
19991230,10.48
19991231,10.65
20000103,10.54
20000104,10.81
20000105,11.14
20000106,11.31
20000107,12.41
20000110,13.5
20000111,14.49
20000112,14.93
20000113,14.49
20000114,13.72
20000118,14.0
20000119,14.16
20000120,14.11
20000121,13.94
20000124,13.83
20000125,13.83
20000126,14.05
20000127,14.38
20000128,14.27
20000131,13.83
20000201,13.61
20000202,13.5
20000203,14.0
20000204,13.83
20000207,13.83
20000208,13.72
20000209,13.39
20000210,13.67
20000211,13.67
20000214,13.67
20000215,13.78
20000216,13.67
20000217,13.61
20000218,13.56
20000222,13.17
20000223,12.68
20000224,12.57
20000225,12.3
20000228,12.08
20000229,12.24
20000301,12.62
20000302,12.46
20000303,11.86
20000306,11.42
20000307,11.53
20000308,11.47
20000309,11.58
20000310,11.75
20000313,11.64
20000314,11.75
20000315,11.8
20000316,12.51
20000317,12.79
20000320,12.79
20000321,12.73
20000322,12.62
20000323,13.17
20000324,13.28
20000327,13.23
20000328,14.05
20000329,13.78
20000330,13.78
20000331,13.01
20000403,13.06
20000404,13.06
20000405,14.0
20000406,13.72
20000407,14.16
20000410,13.83
20000411,13.61
20000412,12.95
20000413,13.12
20000414,13.17
20000417,13.17
20000418,13.17
20000419,13.06
20000420,13.12
20000424,13.12
20000425,13.06
20000426,13.17
20000427,13.01
20000428,13.17
20000501,13.28
20000502,13.72
20000503,13.61
20000504,13.39
20000505,13.34
20000508,13.28
20000509,14.0
20000510,13.61
20000511,13.67
20000512,13.5
20000515,13.61
20000516,13.61
20000517,13.83
20000518,13.72
20000519,13.45
20000522,13.5
20000523,13.61
20000524,13.28
20000525,13.56
20000526,13.5
20000530,13.61
20000531,14.44
20000601,14.55
20000602,14.38
20000605,14.11
20000606,14.0
20000607,13.94
20000608,14.05
20000609,14.05
20000612,13.94
20000613,14.27
20000614,14.55
20000615,14.44
20000616,14.82
20000619,14.44
20000620,14.22
20000621,13.39
20000622,13.28
20000623,13.83
20000626,13.72
20000627,13.67
20000628,13.5
20000629,12.95
20000630,12.46
20000703,13.06
20000705,12.84
20000706,13.5
20000707,13.5
20000710,13.61
20000711,13.61
20000712,13.72
20000713,13.78
20000714,13.28
20000717,13.5
20000718,13.56
20000719,13.67
20000720,13.67
20000721,13.67
20000724,13.78
20000725,13.94
20000726,13.56
20000727,13.34
20000728,13.06
20000731,13.23
20000801,13.28
20000802,13.39
20000803,13.17
20000804,13.17
20000807,13.56
20000808,13.34
20000809,13.5
20000810,13.5
20000811,13.28
20000814,13.56
20000815,13.72
20000816,14.0
20000817,13.94
20000818,14.05
20000821,14.0
20000822,14.05
20000823,13.61
20000824,13.61
20000825,13.56
20000828,13.28
20000829,13.45
20000830,13.06
20000831,12.62
20000901,12.51
20000905,12.68
20000906,12.51
20000907,12.08
20000908,12.62
20000911,12.62
20000912,13.06
20000913,13.01
20000914,12.79
20000915,12.35
20000918,12.24
20000919,12.3
20000920,12.35
20000921,12.19
20000922,12.13
20000925,11.64
20000926,11.2
20000927,10.98
20000928,10.76
20000929,9.44
20001002,9.77
20001003,9.83
20001004,9.99
20001005,10.04
20001006,10.1
20001009,10.26
20001010,10.37
20001011,10.26
20001012,10.1
20001013,10.43
20001016,10.43
20001017,10.32
20001018,10.21
20001019,10.65
20001020,10.65
20001023,10.54
20001024,10.76
20001025,10.98
20001026,11.03
20001027,10.98
20001030,10.98
20001031,10.92
20001101,10.87
20001102,10.87
20001103,10.98
20001106,10.54
20001107,10.54
20001108,10.48
20001109,10.43
20001110,9.44
20001113,9.77
20001114,9.44
20001115,9.66
20001116,9.5
20001117,9.44
20001120,9.33
20001121,9.17
20001122,8.95
20001124,9.0
20001127,9.0
20001128,8.89
20001129,8.67
20001130,8.56
20001201,8.56
20001204,8.34
20001205,8.4
20001206,8.23
20001207,7.63
20001208,6.86
20001211,6.97
20001212,6.92
20001213,6.7
20001214,6.31
20001215,6.09
20001218,5.21
20001219,5.82
20001220,6.26
20001221,6.59
20001222,5.93
20001226,5.93
20001227,6.15
20001228,6.53
20001229,6.97
20010102,6.97
20010103,7.03
20010104,7.57
20010105,7.68
20010108,7.63
20010109,7.03
20010110,7.25
20010111,7.14
20010112,6.97
20010116,6.81
20010117,7.14
20010118,7.03
20010119,7.08
20010122,7.08
20010123,6.92
20010124,6.92
20010125,7.03
20010126,7.36
20010129,7.64
20010130,7.54
20010131,7.55
20010201,8.04
20010202,8.83
20010205,9.92
20010206,10.1
20010207,10.06
20010208,10.14
20010209,10.1
20010212,9.97
20010213,9.92
20010214,10.1
20010215,9.88
20010216,9.66
20010220,9.62
20010221,9.23
20010222,9.13
20010223,8.65
20010226,8.61
20010227,9.05
20010228,9.18
20010301,9.4
20010302,9.27
20010305,9.12
20010306,8.78
20010307,8.74
20010308,8.11
20010309,7.83
20010312,7.9
20010313,7.95
20010314,8.17
20010315,7.99
20010316,7.82
20010319,8.12
20010320,7.99
20010321,7.9
20010322,8.17
20010323,8.04
20010326,7.86
20010327,8.34
20010328,8.08
20010329,7.91
20010330,8.12
20010402,7.77
20010403,8.18
20010404,8.21
20010405,8.17
20010406,8.21
20010409,8.12
20010410,8.3
20010411,7.99
20010412,8.52
20010416,8.8
20010417,8.88
20010418,9.48
20010419,9.93
20010420,10.63
20010423,11.59
20010424,11.5
20010425,11.59
20010426,11.42
20010427,11.42
20010430,11.5
20010501,11.76
20010502,11.42
20010503,11.33
20010504,11.33
20010507,11.33
20010508,11.42
20010509,11.42
20010510,11.37
20010511,11.15
20010514,11.15
20010515,11.07
20010516,11.11
20010517,11.42
20010518,11.23
20010521,11.11
20010522,11.15
20010523,11.24
20010524,11.42
20010525,11.29
20010529,11.2
20010530,11.11
20010531,11.0
20010601,11.37
20010604,11.15
20010605,11.07
20010606,11.09
20010607,11.02
20010608,10.99
20010611,11.16
20010612,11.68
20010613,12.49
20010614,12.87
20010615,12.82
20010618,12.79
20010619,12.6
20010620,12.69
20010621,12.69
20010622,12.65
20010625,12.68
20010626,12.87
20010627,13.83
20010628,13.88
20010629,14.93
20010702,14.41
20010703,14.25
20010705,14.44
20010706,14.36
20010709,14.75
20010710,15.68
20010711,15.99
20010712,18.0
20010713,17.8
20010716,19.07
20010717,18.84
20010718,19.54
20010719,18.7
20010720,18.93
20010723,19.08
20010724,18.86
20010725,16.69
20010726,16.95
20010727,18.0
20010730,18.5
20010731,18.46
20010801,18.36
20010802,17.56
20010803,17.34
20010806,17.2
20010807,17.44
20010808,17.39
20010809,16.99
20010810,16.86
20010813,16.78
20010814,17.34
20010815,18.23
20010816,18.0
20010817,17.56
20010820,15.28
20010821,15.8
20010822,16.51
20010823,16.25
20010824,16.25
20010827,16.42
20010828,16.2
20010829,16.2
20010830,15.81
20010831,16.55
20010904,16.16
20010905,16.6
20010906,16.58
20010907,15.71
20010910,15.28
20010917,12.25
20010918,11.11
20010919,10.28
20010920,9.76
20010921,9.05
20010924,10.35
20010925,11.29
20010926,10.8
20010927,10.89
20010928,11.2
20011001,10.59
20011002,10.89
20011003,11.11
20011004,12.73
20011005,12.6
20011008,11.97
20011009,12.07
20011010,13.52
20011011,13.63
20011012,13.34
20011015,13.39
20011016,13.28
20011017,13.04
20011018,13.43
20011019,13.31
20011022,13.16
20011023,13.18
20011024,13.17
20011025,13.74
20011026,13.66
20011029,13.12
20011030,13.19
20011031,14.84
20011101,15.37
20011102,15.93
20011105,14.53
20011106,14.7
20011107,15.81
20011108,15.41
20011109,15.47
20011112,15.19
20011113,16.07
20011114,16.25
20011115,16.45
20011116,16.64
20011119,16.69
20011120,16.32
20011121,16.34
20011123,16.42
20011126,16.16
20011127,16.2
20011128,16.52
20011129,17.1
20011130,17.08
20011203,16.64
20011204,17.11
20011205,17.56
20011206,17.71
20011207,17.74
20011210,17.58
20011211,16.7
20011212,17.63
20011213,17.48
20011214,17.56
20011217,17.61
20011218,17.56
20011219,17.56
20011220,17.78
20011221,18.22
20011224,18.27
20011226,18.46
20011227,18.54
20011228,19.14
20011231,18.78
20020102,18.43
20020103,18.05
20020104,17.79
20020107,17.8
20020108,17.81
20020109,17.82
20020110,18.37
20020111,17.94
20020114,18.88
20020115,18.6
20020116,18.36
20020117,19.47
20020118,20.29
20020122,21.03
20020123,21.21
20020124,20.33
20020125,20.9
20020128,21.05
20020129,20.65
20020130,21.96
20020131,23.71
20020201,22.66
20020204,22.75
20020205,22.83
20020206,22.35
20020207,21.37
20020208,21.77
20020211,21.69
20020212,21.17
20020213,20.73
20020214,20.64
20020215,20.83
20020219,20.19
20020220,20.02
20020221,21.3
20020222,21.67
20020225,22.61
20020226,23.54
20020227,23.23
20020228,23.45
20020301,23.84
20020304,24.79
20020305,24.99
20020306,26.13
20020307,23.83
20020308,24.49
20020311,25.39
20020312,26.39
20020313,25.78
20020314,24.16
20020315,24.85
20020318,25.95
20020319,25.59
20020320,25.25
20020321,24.17
20020322,23.57
20020325,23.69
20020326,24.56
20020327,25.3
20020328,25.47
20020401,25.83
20020402,25.49
20020403,25.24
20020404,25.35
20020405,26.07
20020408,27.11
20020409,28.19
20020410,28.09
20020411,28.03
20020412,28.28
20020415,28.25
20020416,29.07
20020417,28.1
20020418,27.86
20020419,29.0
20020422,29.03
20020423,29.07
20020424,28.89
20020425,28.19
20020426,28.19
20020429,27.09
20020430,28.98
20020501,28.1
20020502,28.73
20020503,30.3
20020506,29.98
20020507,30.09
20020508,30.66
20020509,30.83
20020510,30.96
20020513,30.39
20020514,31.31
20020515,31.78
20020516,30.63
20020517,30.42
20020520,29.86
20020521,29.42
20020522,29.6
20020523,29.99
20020524,29.65
20020528,29.56
