Date,Price
19990204,1.92
19990205,1.83
19990208,1.81
19990209,1.67
19990210,1.68
19990211,1.81
19990212,1.78
19990216,1.71
19990217,1.71
19990218,1.67
19990219,1.65
19990222,1.71
19990223,1.7
19990224,1.68
19990225,1.56
19990226,1.48
19990301,1.42
19990302,1.27
19990303,1.28
19990304,1.3
19990305,1.31
19990308,1.3
19990309,1.33
19990310,1.45
19990311,1.4
19990312,1.36
19990315,1.39
19990316,1.41
19990317,1.4
19990318,1.45
19990319,1.42
19990322,1.54
19990323,1.49
19990324,1.49
19990325,1.55
19990326,1.52
19990329,1.66
19990330,1.65
19990331,1.75
19990401,1.71
19990405,1.8
19990406,1.75
19990407,1.89
19990408,1.95
19990409,1.96
19990412,1.96
19990413,2.0
19990414,1.98
19990415,1.88
19990416,1.81
19990419,1.68
19990420,1.67
19990421,1.6
19990422,1.71
19990423,1.8
19990426,1.94
19990427,1.94
19990428,1.85
19990429,1.96
19990430,2.03
19990503,2.0
19990504,2.03
19990505,2.0
19990506,1.93
19990507,1.88
19990510,1.85
19990511,1.83
19990512,1.74
19990513,1.78
19990514,1.78
19990517,1.82
19990518,2.2
19990519,2.03
19990520,2.2
19990521,2.35
19990524,2.55
19990525,2.41
19990526,2.43
19990527,2.29
19990528,2.34
19990601,2.4
19990602,2.79
19990603,3.14
19990604,3.05
19990607,3.19
19990608,3.23
19990609,3.48
19990610,3.47
19990611,3.17
19990614,2.92
19990615,2.83
19990616,3.03
19990617,3.24
19990618,3.17
19990621,3.39
19990622,3.32
19990623,3.2
19990624,3.0
19990625,3.0
19990628,3.26
19990629,3.38
19990630,3.38
19990701,3.28
19990702,3.42
19990706,3.58
19990707,3.7
19990708,3.68
19990709,3.7
19990712,3.97
19990713,3.98
19990714,4.29
19990715,4.35
19990716,4.29
19990719,4.36
19990720,3.76
19990721,4.23
19990722,4.6
19990723,4.58
19990726,4.06
19990727,3.98
19990728,3.96
19990729,4.05
19990730,3.9
19990802,3.83
19990803,3.59
19990804,3.0
19990805,3.42
19990806,3.28
19990809,3.06
19990810,2.99
19990811,3.18
19990812,3.31
19990813,3.73
19990816,4.15
19990817,4.0
19990818,4.27
19990819,4.46
19990820,4.98
19990823,5.08
19990824,4.77
19990825,4.85
19990826,4.83
19990827,5.0
19990830,4.92
19990831,4.96
19990901,5.1
19990902,5.03
19990903,5.21
19990907,5.82
19990908,5.96
19990909,6.17
19990910,6.14
19990913,6.08
19990914,6.05
19990915,5.79
19990916,5.65
19990917,5.55
19990920,5.39
19990921,5.04
19990922,4.97
19990923,4.79
19990924,4.42
19990927,5.15
19990928,5.12
19990929,5.08
19990930,5.16
19991001,4.98
19991004,5.07
19991005,4.99
19991006,4.98
19991007,4.96
19991008,5.16
19991011,5.56
19991012,5.43
19991013,5.21
19991014,5.21
19991015,5.03
19991018,4.82
19991019,4.96
19991020,5.12
19991021,5.05
19991022,5.46
19991025,5.4
19991026,5.45
19991027,5.24
19991028,5.17
19991029,5.12
19991101,5.23
19991102,5.23
19991103,5.62
19991104,6.23
19991105,6.45
19991108,6.71
19991109,6.41
19991110,6.61
19991111,7.04
19991112,6.98
19991115,7.91
19991116,8.75
19991117,9.17
19991118,9.2
19991119,9.14
19991122,8.83
19991123,8.15
19991124,7.85
19991126,8.77
19991129,8.96
19991130,8.54
19991201,9.06
19991202,9.21
19991203,9.33
19991206,9.42
19991207,9.18
19991208,8.64
19991209,8.56
19991210,8.32
19991213,8.21
19991214,7.53
19991215,7.19
19991216,7.12
19991217,7.98
19991220,7.17
19991221,7.71
19991222,7.17
19991223,7.38
19991227,7.11
19991228,6.92
19991229,7.17
19991230,7.09
19991231,7.7
20000103,8.6
20000104,8.53
20000105,8.27
20000106,7.88
20000107,8.1
20000110,9.34
20000111,9.44
20000112,8.81
20000113,8.36
20000114,8.23
20000118,9.21
20000119,12.02
20000120,11.58
20000121,11.59
20000124,11.96
20000125,12.31
20000126,11.94
20000127,11.35
20000128,10.58
20000131,10.96
20000201,11.67
20000202,14.02
20000203,15.23
20000204,15.54
20000207,17.15
20000208,20.75
20000209,18.67
20000210,19.17
20000211,17.67
20000214,19.46
20000215,18.69
20000216,17.67
20000217,18.77
20000218,18.08
20000222,18.52
20000223,19.71
20000224,23.71
20000225,23.16
20000228,24.62
20000229,22.54
20000301,24.5
20000302,26.02
20000303,25.11
20000306,24.67
20000307,23.62
20000308,21.8
20000309,23.02
20000310,22.5
20000313,21.79
20000314,21.25
20000315,20.01
20000316,23.18
20000317,22.15
20000320,21.62
20000321,20.51
20000322,22.33
20000323,22.31
20000324,24.62
20000327,23.17
20000328,21.08
20000329,18.76
20000330,16.58
20000331,17.75
20000403,14.17
20000404,12.75
20000405,13.83
20000406,14.92
20000407,16.59
20000410,14.0
20000411,13.67
20000412,7.62
20000413,7.08
20000414,6.08
20000417,6.1
20000418,6.5
20000419,7.0
20000420,6.68
20000424,6.0
20000425,6.96
20000426,6.69
20000427,6.75
20000428,7.08
20000501,7.33
20000502,7.62
20000503,7.15
20000504,6.86
20000505,7.04
20000508,6.82
20000509,6.35
20000510,6.05
20000511,6.18
20000512,6.23
20000515,6.15
20000516,6.58
20000517,6.27
20000518,6.08
20000519,5.66
20000522,5.12
20000523,4.88
20000524,4.7
20000525,4.3
20000526,4.19
20000530,5.0
20000531,5.36
20000601,6.48
20000602,6.94
20000605,6.62
20000606,6.85
20000607,7.08
20000608,7.48
20000609,7.9
20000612,7.67
20000613,7.77
20000614,7.62
20000615,7.31
20000616,7.04
20000619,7.17
20000620,7.92
20000621,9.1
20000622,9.79
20000623,9.38
20000626,8.83
20000627,7.08
20000628,7.14
20000629,6.48
20000630,7.54
20000703,8.16
20000705,8.21
20000706,8.55
20000707,9.27
20000710,8.98
20000711,8.83
20000712,10.04
20000713,10.24
20000714,10.44
20000717,10.82
20000718,10.64
20000719,9.92
20000720,10.67
20000721,10.21
20000724,9.61
20000725,9.75
20000726,9.59
20000727,9.17
20000728,8.44
20000731,9.03
20000801,8.96
20000802,8.85
20000803,8.55
20000804,8.8
20000807,9.5
20000808,9.34
20000809,9.48
20000810,9.17
20000811,9.15
20000814,9.82
20000815,9.79
20000816,10.03
20000817,10.5
20000818,10.32
20000821,9.96
20000822,10.46
20000823,10.34
20000824,10.5
20000825,10.61
20000828,10.61
20000829,12.08
20000830,11.9
20000831,12.59
20000901,13.5
20000905,14.25
20000906,13.39
20000907,13.21
20000908,12.46
