Date,Price
19930205,1.07
19930208,1.06
19930209,1.06
19930210,1.06
19930211,1.06
19930212,1.06
19930216,0.93
19930217,0.88
19930218,0.88
19930219,0.88
19930222,0.88
19930223,0.77
19930224,0.77
19930225,0.93
19930226,0.91
19930301,0.96
19930302,0.95
19930303,0.97
19930304,0.99
19930305,1.04
19930308,1.04
19930309,1.04
19930310,1.07
19930311,1.04
19930312,1.06
19930315,1.08
19930316,1.04
19930317,1.04
19930318,1.02
19930319,1.06
19930322,1.06
19930323,1.02
19930324,1.05
19930325,1.03
19930326,1.03
19930329,1.06
19930330,1.08
19930331,1.08
19930401,1.06
19930402,1.06
19930405,1.06
19930406,1.08
19930407,1.09
19930408,1.06
19930412,1.06
19930413,1.02
19930414,1.02
19930415,1.04
19930416,1.08
19930419,1.07
19930420,1.07
19930421,1.04
19930422,1.04
19930423,1.04
19930426,1.04
19930427,1.04
19930428,0.97
19930429,0.95
19930430,0.97
19930503,0.95
19930504,0.93
19930505,0.95
19930506,0.93
19930507,0.97
19930510,0.99
19930511,1.13
19930512,1.08
19930513,1.04
19930514,1.1
19930517,1.13
19930518,1.02
19930519,1.06
19930520,1.06
19930521,1.1
19930524,1.02
19930525,0.93
19930526,0.95
19930527,0.97
19930528,0.95
19930601,0.95
19930602,1.02
19930603,1.06
19930604,1.06
19930607,0.97
19930608,1.02
19930609,0.95
19930610,0.95
19930611,0.97
19930614,0.86
19930615,0.93
19930616,0.88
19930617,0.86
19930618,0.83
19930621,0.88
19930622,0.92
19930623,0.95
19930624,0.95
19930625,0.91
19930628,0.91
19930629,0.95
19930630,0.95
19930701,1.04
19930702,1.04
19930706,0.99
19930707,0.95
19930708,0.95
19930709,0.95
19930712,0.95
19930713,0.99
19930714,1.04
19930715,0.95
19930716,1.04
19930719,0.97
19930720,0.91
19930721,0.91
19930722,0.91
19930723,0.91
19930726,0.97
19930727,0.97
19930728,0.91
19930729,0.97
19930730,0.94
19930802,0.91
19930803,0.97
19930804,0.97
19930805,0.93
19930806,0.95
19930809,0.91
19930810,0.91
19930811,0.91
19930812,0.97
19930813,0.91
19930816,0.95
19930817,0.95
19930818,0.97
19930819,0.93
19930820,0.93
19930823,0.93
19930824,0.91
19930825,0.97
19930826,0.97
19930827,0.91
19930830,0.97
19930831,0.97
19930901,0.95
19930902,0.97
19930903,0.97
19930907,0.91
19930908,0.91
19930909,0.84
19930910,0.85
19930913,0.86
19930914,0.79
19930915,0.62
19930916,0.68
19930917,0.64
19930920,0.68
19930921,0.68
19930922,0.62
19930923,0.62
19930924,0.62
19930927,0.63
19930928,0.62
19930929,0.57
19930930,0.56
19931001,0.62
19931004,0.55
19931005,0.52
19931006,0.55
19931007,0.53
19931008,0.55
19931011,0.6
19931012,0.62
19931013,0.64
19931014,0.62
19931015,0.62
19931018,0.6
19931019,0.64
19931020,0.6
19931021,0.62
19931022,0.6
19931025,0.53
19931026,0.6
19931027,0.54
19931028,0.6
19931029,0.54
19931101,0.53
19931102,0.6
19931103,0.57
19931104,0.64
19931105,0.62
19931108,0.6
19931109,0.62
19931110,0.66
19931111,0.63
19931112,0.66
19931115,0.62
19931116,0.62
19931117,0.65
19931118,0.65
19931119,0.66
19931122,0.62
19931123,0.55
19931124,0.57
19931126,0.57
19931129,0.55
19931130,0.6
19931201,0.55
19931202,0.62
19931203,0.62
19931206,0.62
19931207,0.55
19931208,0.62
19931209,0.62
19931210,0.55
19931213,0.54
19931214,0.54
19931215,0.53
19931216,0.51
19931217,0.49
19931220,0.5
19931221,0.49
19931222,0.41
19931223,0.44
19931227,0.44
19931228,0.42
19931229,0.42
19931230,0.42
19931231,0.42
19940103,0.43
19940104,0.42
19940105,0.44
19940106,0.49
19940107,0.46
19940110,0.42
19940111,0.46
19940112,0.46
19940113,0.42
19940114,0.4
19940117,0.44
19940118,0.43
19940119,0.43
19940120,0.44
19940121,0.44
19940124,0.49
19940125,0.51
19940126,0.6
19940127,0.57
19940128,0.6
19940131,0.6
19940201,0.6
19940202,0.57
19940203,0.55
19940204,0.51
19940207,0.51
19940208,0.52
19940209,0.53
19940210,0.55
19940211,0.51
19940214,0.55
19940215,0.51
19940216,0.51
19940217,0.44
