Date,Price
19881202,2.71
19881205,2.75
19881206,2.65
19881207,2.55
19881208,2.54
19881209,2.54
19881212,2.58
19881213,2.57
19881214,2.5
19881215,2.46
19881216,2.46
19881219,2.56
19881220,2.55
19881221,2.54
19881222,2.57
19881223,2.5
19881227,2.47
19881228,2.58
19881229,2.62
19881230,2.68
19890103,2.62
19890104,2.59
19890105,2.59
19890106,2.62
19890109,2.62
19890110,2.61
19890111,2.61
19890112,2.61
19890113,2.62
19890116,2.63
19890117,2.63
19890118,2.65
19890119,2.66
19890120,2.65
19890123,2.63
19890124,2.63
19890125,2.65
19890126,2.71
19890127,2.8
19890130,2.78
19890131,2.74
19890201,2.76
19890202,2.81
19890203,2.8
19890206,2.75
19890207,2.8
19890208,2.81
19890209,2.75
19890210,2.71
19890213,2.69
19890214,2.68
19890215,2.83
19890216,2.78
19890217,2.78
19890221,2.79
19890222,2.73
19890223,2.75
19890224,2.73
19890227,2.71
19890228,2.69
19890301,2.72
19890302,2.77
19890303,2.83
19890306,2.95
19890307,2.91
19890308,3.01
19890309,3.04
19890310,3.06
19890313,3.11
19890314,3.11
19890315,3.17
19890316,3.21
19890317,3.14
19890320,3.11
19890321,3.13
19890322,3.12
19890323,3.09
19890327,3.07
19890328,3.09
19890329,3.14
19890330,3.2
19890331,3.21
19890403,3.28
19890404,3.26
19890405,3.27
19890406,3.21
19890407,3.24
19890410,3.24
19890411,3.23
19890412,3.33
19890413,3.32
19890414,3.42
19890417,3.45
19890418,3.49
19890419,3.47
19890420,3.42
19890421,3.44
19890424,3.38
19890425,3.4
19890426,3.42
19890427,3.44
19890428,3.44
19890501,3.45
19890502,3.52
19890503,3.52
19890504,3.53
19890505,3.56
19890508,3.46
19890509,3.48
19890510,3.53
19890511,3.58
19890512,3.68
19890515,3.72
19890516,3.66
19890517,3.7
19890518,3.72
19890519,3.82
19890522,3.82
19890523,3.86
19890524,3.86
19890525,3.82
19890526,3.86
19890530,3.87
19890531,4.0
19890601,4.14
19890602,4.18
19890605,4.1
19890606,4.0
19890607,3.95
19890608,3.94
19890609,3.92
19890612,3.95
19890613,3.84
19890614,3.95
19890615,3.86
19890616,3.85
19890619,3.94
19890620,4.02
19890621,3.9
19890622,3.86
19890623,3.96
19890626,4.01
19890627,4.02
19890628,3.99
19890629,3.84
19890630,3.79
19890703,3.86
19890705,3.99
19890706,4.03
19890707,4.0
19890710,4.02
19890711,4.15
19890712,4.17
19890713,4.11
19890714,4.05
