Date,Price
20130501,8.98
20130502,9.09
20130503,9.04
20130506,8.98
20130507,8.91
20130508,9.0
20130509,8.93
20130510,8.92
20130513,8.9
20130514,8.91
20130515,8.91
20130516,8.91
20130517,8.9
20130520,8.93
20130521,8.86
20130522,8.88
20130523,8.92
20130524,8.89
20130528,8.81
20130529,8.94
20130530,9.0
20130531,8.9
20130603,8.88
20130604,8.97
20130605,8.98
20130606,8.82
20130607,9.01
20130610,8.98
20130611,8.51
20130612,8.53
20130613,8.86
20130614,8.65
20130617,8.57
20130618,8.6
20130619,8.76
20130620,8.85
20130621,8.75
20130624,8.56
20130625,8.75
20130626,8.88
20130627,8.75
20130628,8.81
20130701,8.84
20130702,8.91
20130703,8.9
20130705,8.79
20130708,8.76
20130709,8.79
20130710,8.81
20130711,8.86
20130712,8.9
20130715,8.95
20130716,8.95
20130717,8.88
20130718,9.0
20130719,8.85
20130722,8.94
20130723,8.99
20130724,9.05
20130725,9.39
20130726,11.2
20130729,10.51
20130730,10.46
20130731,10.29
20130801,10.48
20130802,10.4
20130805,10.5
20130806,10.2
20130807,10.4
20130808,10.15
20130809,10.42
20130812,10.31
20130813,10.45
20130814,10.5
20130815,10.5
20130816,10.06
20130819,10.2
20130820,10.5
20130821,10.8
20130822,10.36
20130823,10.59
20130826,10.67
20130827,10.55
20130828,10.56
20130829,11.95
20130830,12.42
20130903,13.44
20130904,14.49
20130905,17.0
20130906,16.4
20130909,13.8
20130910,13.82
20130911,13.26
20130912,13.76
20130913,13.99
20130916,14.07
20130917,14.59
20130918,14.65
20130919,15.0
20130920,15.2
20130923,14.76
20130924,15.14
20130925,14.65
20130926,15.79
20130927,17.75
20130930,17.34
20131001,17.01
20131002,17.68
20131003,20.88
20131004,24.7
20131007,31.86
20131008,28.5
20131009,25.8
20131010,28.43
20131011,28.81
20131014,28.0
20131015,28.25
20131016,28.19
20131017,28.79
20131018,29.12
20131021,29.31
20131022,29.79
20131023,29.6
20131024,32.12
20131025,31.96
20131028,31.26
20131029,31.73
20131030,30.68
20131031,30.42
20131101,30.49
20131104,30.1
20131105,29.53
20131106,29.04
20131107,28.92
20131108,29.03
20131111,32.85
20131112,35.85
20131113,35.45
20131114,35.1
20131115,35.67
20131118,35.87
20131119,34.42
20131120,34.43
20131121,34.83
20131122,35.04
20131125,34.52
20131126,35.0
20131127,36.11
20131129,36.49
20131202,34.9
20131203,32.85
20131204,32.24
20131205,31.41
20131206,31.13
20131209,31.01
20131210,30.95
20131211,30.56
20131212,30.91
20131213,32.11
20131216,33.1
20131217,33.41
20131218,33.2
20131219,32.7
20131220,34.24
20131223,36.14
20131224,35.89
20131226,36.77
20131227,37.75
20131230,40.39
20131231,41.54
20140102,40.58
20140103,40.43
20140106,38.39
20140107,38.2
20140108,38.06
20140109,47.0
20140110,48.94
20140113,49.73
20140114,51.0
20140115,51.0
20140116,48.69
20140117,48.39
20140121,51.36
20140122,49.86
20140123,48.6
20140124,49.15
20140127,47.03
20140128,50.39
20140129,51.53
20140130,54.01
20140131,56.09
20140203,55.39
20140204,59.57
20140205,63.71
20140206,57.71
20140207,61.85
20140210,61.64
20140211,64.0
20140212,63.42
20140213,61.72
20140214,61.57
20140218,60.55
20140219,57.44
20140220,57.45
20140221,56.26
20140224,59.49
20140225,59.79
20140226,60.94
20140227,64.57
20140228,65.91
20140303,66.95
20140304,71.01
20140305,74.19
20140306,72.11
20140307,72.43
20140310,77.28
20140311,82.4
20140312,83.05
20140313,80.93
20140314,74.69
20140317,73.11
20140318,72.39
20140319,72.8
20140320,68.52
20140321,66.83
20140324,64.98
20140325,66.19
20140326,61.66
20140327,60.26
20140328,55.84
20140331,59.37
20140401,59.02
20140402,57.45
20140403,56.72
20140404,52.27
20140407,51.34
20140408,52.74
20140409,56.05
20140410,53.6
20140411,48.25
20140414,45.58
