Date,Price
19700101,0
19700102,1.52
19700105,1.53
19700106,1.53
19700107,1.53
19700108,1.54
19700109,1.53
19700112,1.53
19700113,1.55
19700114,1.55
19700115,1.58
19700116,1.54
19700119,1.45
19700120,1.48
19700121,1.47
19700122,1.48
19700123,1.48
19700126,1.45
19700127,1.43
19700128,1.42
19700129,1.41
19700130,1.39
19700202,1.42
19700203,1.43
19700204,1.43
19700205,1.41
19700206,1.43
19700209,1.45
19700210,1.44
19700211,1.47
19700212,1.46
19700213,1.45
19700216,1.45
19700217,1.45
19700218,1.46
19700219,1.46
19700220,1.45
19700224,1.43
19700225,1.43
19700226,1.43
19700227,1.41
19700302,1.39
19700303,1.38
19700304,1.37
19700305,1.37
19700306,1.35
19700309,1.32
19700310,1.36
19700311,1.36
19700312,1.37
19700313,1.35
19700316,1.33
19700317,1.34
19700318,1.34
19700319,1.34
19700320,1.33
19700323,1.34
19700324,1.36
19700325,1.38
19700326,1.38
19700330,1.4
19700331,1.41
19700401,1.4
19700402,1.38
19700403,1.36
19700406,1.33
19700407,1.33
19700408,1.35
19700409,1.35
19700410,1.38
19700413,1.36
19700414,1.35
19700415,1.34
19700416,1.33
19700417,1.34
19700420,1.35
19700421,1.33
19700422,1.3
19700423,1.29
19700424,1.28
19700427,1.25
19700428,1.21
19700429,1.25
19700430,1.24
19700501,1.24
19700504,1.18
19700505,1.18
19700506,1.2
19700507,1.21
19700508,1.21
19700511,1.19
19700512,1.18
19700513,1.15
19700514,1.12
19700515,1.13
19700518,1.13
19700519,1.08
19700520,1.04
19700521,1.02
19700522,1.03
19700525,1.01
19700526,1.01
19700527,1.08
19700528,1.11
19700529,1.16
19700601,1.2
19700602,1.18
19700603,1.18
19700604,1.13
19700605,1.13
19700608,1.11
19700609,1.12
19700610,1.11
19700611,1.08
19700612,1.08
19700615,1.08
19700616,1.13
19700617,1.11
19700618,1.13
19700619,1.13
19700622,1.12
19700623,1.07
19700624,1.06
19700625,1.08
19700626,1.07
19700629,1.07
19700630,1.04
19700701,1.06
19700702,1.05
19700706,1.02
19700707,1.01
19700708,1.05
19700709,1.06
19700710,1.04
19700713,1.03
19700714,1.05
19700715,1.05
19700716,1.06
19700717,1.08
19700720,1.08
19700721,1.08
19700722,1.06
19700723,1.07
19700724,1.06
19700727,1.06
19700728,1.05
19700729,1.05
19700730,1.06
19700731,1.06
19700803,1.04
19700804,1.05
19700805,1.05
19700806,1.04
19700807,1.03
19700810,1.01
19700811,1
19700812,0.97
19700813,0.93
19700814,0.96
19700817,0.99
19700818,1
19700819,1
19700820,1.03
19700821,1.04
19700824,1.1
19700825,1.11
19700826,1.11
19700827,1.11
19700828,1.14
19700831,1.12
19700901,1.11
19700902,1.11
19700903,1.13
19700904,1.14
19700908,1.15
19700909,1.14
19700910,1.12
19700911,1.13
19700914,1.11
19700915,1.12
19700916,1.14
19700917,1.16
19700918,1.17
19700921,1.15
19700922,1.15
19700923,1.18
19700924,1.21
19700925,1.21
19700928,1.22
19700929,1.22
19700930,1.22
