Date,Price
20030501,11.32
20030502,11.32
20030505,11.32
20030506,11.32
20030507,10.23
20030508,9.7
20030509,9.96
20030512,12.15
20030513,11.47
20030514,10.83
20030515,10.64
20030516,10.57
20030519,10.6
20030520,10.51
20030521,10.72
20030522,11.06
20030523,11.13
20030527,11.24
20030528,11.66
20030529,11.96
20030530,12.0
20030602,11.89
20030603,11.36
20030604,11.32
20030605,11.59
20030606,12.08
20030609,13.36
20030610,14.79
20030611,14.53
20030612,14.01
20030613,13.96
20030616,16.98
20030617,16.43
20030618,16.45
20030619,17.31
20030620,19.02
20030623,19.82
20030624,18.8
20030625,19.36
20030626,18.89
20030627,19.35
20030630,20.37
20030701,19.59
20030702,20.11
20030703,19.42
20030707,19.49
20030708,19.59
20030709,19.31
20030710,19.02
20030711,18.27
20030714,18.57
20030715,18.45
20030716,18.64
20030717,18.2
20030718,18.3
20030721,18.08
20030722,18.3
20030723,18.02
20030724,17.25
20030725,17.49
20030728,17.25
20030729,17.47
20030730,16.95
20030731,17.66
20030801,17.62
20030804,17.71
20030805,17.8
20030806,17.83
20030807,18.32
20030808,18.76
20030811,18.43
20030812,18.04
20030813,18.15
20030814,18.42
20030815,18.43
20030818,18.4
20030819,18.49
20030820,18.42
20030821,19.85
20030822,21.32
20030825,21.51
20030826,21.59
20030827,21.66
20030828,22.22
20030829,23.15
20030902,21.99
20030903,22.38
20030904,22.4
20030905,22.68
20030908,22.24
20030909,21.28
20030910,21.13
20030911,21.1
20030912,20.55
20030915,20.38
20030916,20.23
20030917,20.74
20030918,20.73
20030919,20.57
20030922,19.77
20030923,20.49
20030924,19.99
20030925,19.44
20030926,19.24
20030929,19.41
20030930,18.82
20031001,19.38
20031002,18.7
20031003,19.06
20031006,19.06
20031007,19.02
20031008,19.47
20031009,21.55
20031010,22.49
20031013,23.02
20031014,23.04
20031015,22.66
20031016,22.64
20031017,21.5
20031020,21.22
20031021,21.24
20031022,21.13
20031023,20.57
20031024,20.38
20031027,19.96
20031028,20.94
20031029,20.97
20031030,21.13
20031031,21.88
20031103,21.32
20031104,21.47
20031105,20.79
20031106,21.31
20031107,22.33
20031110,22.42
20031111,22.45
20031112,22.48
20031113,22.3
20031114,22.64
20031117,22.19
20031118,21.9
20031119,22.14
20031120,21.99
20031121,21.56
20031124,22.64
20031125,22.64
20031126,21.89
20031128,22.97
20031201,24.69
20031202,24.59
20031203,24.71
20031204,23.62
20031205,22.19
20031208,20.65
20031209,19.81
20031210,19.56
20031211,19.02
20031212,18.87
20031215,18.11
20031216,18.8
20031217,19.17
20031218,20.33
20031219,20.34
20031222,19.97
20031223,19.07
20031224,18.64
20031226,17.74
20031229,17.66
20031230,17.59
20031231,18.08
20040102,17.36
20040105,21.98
20040106,22.64
20040107,22.0
20040108,22.9
20040109,22.79
20040112,23.22
20040113,22.68
20040114,22.64
20040115,22.18
20040116,22.55
20040120,22.3
20040121,22.83
20040122,22.27
20040123,22.38
20040126,21.87
20040127,21.77
20040128,21.21
20040129,21.13
20040130,20.88
20040202,20.73
20040203,20.1
20040204,20.02
20040205,20.14
20040206,21.74
20040209,21.74
20040210,21.68
20040211,22.62
20040212,22.42
20040213,21.68
20040217,22.57
20040218,23.11
20040219,22.65
20040220,22.72
20040223,22.67
20040224,21.93
20040225,21.69
20040226,21.89
20040227,22.64
20040301,22.69
20040302,23.36
20040303,24.67
20040304,24.83
20040305,24.54
20040308,24.87
20040309,25.89
20040310,26.36
20040311,25.89
20040312,25.71
20040315,25.04
20040316,25.53
20040317,26.18
20040318,27.97
20040319,28.78
20040322,28.27
20040323,27.7
20040324,27.93
20040325,28.66
20040326,29.17
20040329,30.19
20040330,31.58
20040331,31.31
20040401,31.5
20040402,34.91
20040405,34.83
20040406,34.29
20040407,34.17
20040408,33.96
20040412,33.97
20040413,33.4
20040414,32.21
20040415,32.45
20040416,33.68
20040419,34.98
20040420,34.92
20040421,34.23
20040422,35.13
20040423,35.44
20040426,34.85
20040427,34.71
20040428,34.08
